market,pain_intensity,urgency,willingness_to_pay,ease_of_finding_leads,ease_of_reaching_decision_makers,implementation_speed,roi_demonstrability,competition_weakness,founder_fit,bali_advantage,remote_delivery_potential,close_within_7_14_days,total
Dubai real estate agencies,10,9,9,9,6,8,10,7,8,5,9,6,96
Bali villas & property management,9,8,6,9,8,8,8,8,9,10,6,7,96
Bali real estate agencies,9,8,7,8,7,8,9,8,8,9,7,7,95
Bali wellness & aesthetic clinics,9,8,7,8,7,8,9,8,8,9,6,7,94
Australia clinics & service businesses,8,7,8,8,6,8,9,7,8,7,9,5,90
Boutique hotels & tourism operators,8,7,6,8,7,7,8,7,8,9,6,6,87
Marketing & creative agencies,8,6,7,9,6,7,8,6,8,4,9,5,83
Local service businesses (high lead value trades),8,7,6,8,6,8,9,5,7,4,8,5,81
Shopify ecommerce brands,7,6,6,8,5,7,7,4,7,4,9,4,74
Online course / creator businesses,6,5,4,7,6,8,6,5,7,7,9,5,75
Singapore service businesses,6,5,7,7,5,7,7,5,6,7,8,4,74
Bali restaurants & hospitality groups,6,5,3,8,7,7,6,7,7,9,4,4,73
